user_name,img_rating,img_price,img_url,img_design_type,img_design_style
cof_fin,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/298426512/original/782d9d950823b1b5dbd5eda16771b72d71f9cf91.jpg",0,0
logoflow,4.9,15,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/22527722/original/d9de303ea2f07efe1e75e1a67f657e33e6aa9b4f.jpg",0,0
mountdesign,4.9,10,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/109611151/original/42d4814c676b9f4320152d541bb6c8be7cd83d39.jpg",0,0
kiara43,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/191938134/original/e3663e702416ecc37762670e28541d9f9010ef2f.jpg",0,0
websutra,4.9,400,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/122531603/original/eccdc57ef960b6cc51853d37a1ff9034af618deb.jpg",0,0
ahmed_gfx786,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/132488260/original/955d6d66789bd57075f25da7de2b3a4233b2e26a.jpg",0,0
ameliadesigns43,4.8,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/285419378/original/a03afba408f5a0abc5473dcdc1c72f1a0b83d6b9.jpg",0,0
mewindson,4.9,45,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/192945874/original/45074ea0dfcd30781722c0cc82cdd54355d2102d.jpg",0,0
morningdesigns,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/201404443/original/1ee458d8c8eb46b803215afd40e36e052caac646.jpg",0,0
shiv_graphix,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/68748376/original/7d9d3d6e4efd2e35bc8e8b3cc2dcf2fde1e27271.jpg",0,0
mrtranscendence,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/110928855/original/c3fc46f6ac4d0287a2511cf5b06144aaa499326d.jpg",0,0
hirparabhavin,4.9,40,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/181018412/original/9df3ba5e11d69cc6e14d7a61e9e7ba50c05cb4f1.jpg",0,0
ingeniousarts,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/137846948/original/dfcb86f1ea3b696bd3594afa8f64eeb2b65b6de3.jpg",0,0
weperfectionist,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/23197467/original/d4f9121d0d962301e3ef52c1a5217bf003889e2a.jpg",0,0
design_desk,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/3171448/original/6758c91c574a18649d90241594cd950c89c91b36.png",0,0
khokonhassan,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/257010762/original/dab4499327d0b844c29abd7500d8887fe85fcebe.jpg",0,0
romisriyoool,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/127942188/original/14b2092c5fa6b50f36a0c97615b7b29779b23a5b.jpg",0,0
zera93,5,35,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/2235503/original/5f73a312695668c039acfd7d9f8dd5f1d96c0931.jpg",0,0
graphixygen,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/154184609/original/51d50b5af09a79fbc309048d4506ea6f701a30d5.jpg",0,0
crawford96,5,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/252190289/original/39c3fb8f7ffc672137dda958551a68ee43b36636.jpg",0,0
shailene_george,4.9,40,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/142024147/original/27b1fb04de81d0ba018311fd4adc95d36f2fb6ce.jpg",0,0
ava_islam01,5,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/294119863/original/1d99b4c6f7e7e7f793b56b6000c6debd42b350bb.jpg",0,0
arona1,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/165658104/original/c9e55962f3f9227189ccd767ee2543d82eb223f4.jpg",0,0
daveesparza,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/191157123/original/50056ef57c9aada3cee0b9a9c906cef1fb82650f.png",0,0
cioncode,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/101725605/original/9d2b2d1eef3687c9973ddb45af36e177572298bb.png",0,0
germancreative,4.9,10,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/268428480/original/0f26fb56428a75bd9a12ce208318193c47cb9411.jpg",0,0
logo_kings,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/43380544/original/2ee94deeb1c6c263abfa743aa643f18dad9cf909.jpg",0,0
queenofgrafiks,4.9,15,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/111249451/original/950ea92520905fcfeacc9e03966e9eaa66364a8c.jpg",0,0
softriver,4.9,130,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/152144644/original/b3d1df422b12277a3f26d57f263f91b53c044f30.jpg",0,0
milanmanojlovic,4.9,70,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/15733274/original/a6288f1333af38d31df55c6363cb8abb27e4e7d6.png",0,0
caterina82,4.9,40,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/140581220/original/5c9826a5c2c15bb6a30ffce7d1660ada5efbc23f.jpg",0,0
