illustrator_name,gig_rating,gig_price_from,gig_img_url,gig_url,gig_num_rated,gig_design_type,gig_design_style,client_origins,client_names,illustrator_origins,illustrator_response_times
nadia_younus,5,60,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/192437271/original/3fb8af5466dc09f13e2afaccf22c6708f0a8976e.jpg",https://www.fiverr.com/nadia_younus/do-minimal-and-elegant-logo-design-with-multiple-concepts?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=1&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&fiverr_choice=true&imp_id=e314b92b-ef21-42dc-81a8-a8131fde39b3,116,0,0,Canada,stoxventures,Pakistan,1
mariya_logo99,4.9,15,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/292635463/original/e6d48abe79bee1a9cdc2c71e83c88513440fc393.jpg",https://www.fiverr.com/mariya_logo99/do-creative-4-modern-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=2&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=d21a0284-e642-4e15-a9ad-d4a7a8f41197,106,0,0,Italy,lifehossain,Bangladesh,1
mountdesign,4.9,10,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/109611151/original/42d4814c676b9f4320152d541bb6c8be7cd83d39.jpg",https://www.fiverr.com/mountdesign/design-3-professional-logo-for-you-in-24-hours?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=3&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=de833126-8d23-47d2-963d-88888fbba651,1000,0,0,United States,stormproofrooof,India,1
ahmed_gfx786,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/132488260/original/955d6d66789bd57075f25da7de2b3a4233b2e26a.jpg",https://www.fiverr.com/ahmed_gfx786/design-a-unique-and-professional-logo-for-you?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=4&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=7a95b2a2-f316-4dcd-b22c-14d23c2ac049,1000,0,0,France,remi_bgd,Pakistan,1
websutra,4.9,400,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/122531603/original/eccdc57ef960b6cc51853d37a1ff9034af618deb.jpg",https://www.fiverr.com/websutra/draw-an-unique-logo-for-your-enterprise?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=5&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=c1c546b9-9bc1-4bee-aa07-469a6d0453c8,258,0,0,United States,tribolumen,Sri Lanka,4
kiara43,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/191938134/original/e3663e702416ecc37762670e28541d9f9010ef2f.jpg",https://www.fiverr.com/kiara43/create-modern-minimalist-and-luxury-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=6&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=ca54f4e5-66ed-4328-8295-08312ef1b992,1000,0,0,Germany,sustainifytoday,Sri Lanka,1
crawford96,5,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/252190289/original/39c3fb8f7ffc672137dda958551a68ee43b36636.jpg",https://www.fiverr.com/crawford96/do-a-modern-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=7&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=af55b1d9-e1d5-40e3-bcba-b849b287777d,776,0,0,United States,alecsean,Pakistan,3
morningdesigns,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/201404443/original/1ee458d8c8eb46b803215afd40e36e052caac646.jpg",https://www.fiverr.com/morningdesigns/do-unique-modern-minimalist-logo-design-for-business?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=8&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=ceacd56f-caf3-4328-b60b-1bd45916fa0c,1000,0,0,United States,justindunham100,India,3
ninjadesigners,4.9,125,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/82346046/original/0ff2f3c391712543510006e490f96cc488ab3526.jpg",https://www.fiverr.com/ninjadesigners/do-2-unique-logo-in-24hrs?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=9&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=3236e611-0676-40cc-8724-90730b5cb78d,762,0,0,Pakistan,shadabmughal4,India,1
shiv_graphix,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/68748376/original/7d9d3d6e4efd2e35bc8e8b3cc2dcf2fde1e27271.jpg",https://www.fiverr.com/shiv_graphix/design-2-outstanding-logo-in-24-hours?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=10&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=77394484-fad7-4382-9867-a236a6e6ca0d,1000,0,0,United Kingdom,joshwilkinson88,India,1
